veh_id,Start_Date,Status,Logged status,Total_Dist_Covered(km),Avg_Run_Time,Fuel Level,Lubricants_last_changed,Lubricant_due_date,Tyre_pressure(PSI),Battery_change_Date,Battery_change_due_date,Brakes,Temperature,Vibration,Coolant_level,Total_Work_order_Received,Total_Work_Order_Completed,Service_Required
1019,1/1/2016,Active,Yes,3022,140,Medium,1/1/2021,10/28/2021,98,1/1/2016,1/1/2021,NOT OK,High,Low,Low,756,760,Yes
1020,10/1/2019,Inactive,Yes,2012,153,Low,1/1/2021,10/28/2021,110,10/1/2019,10/1/2024,OK,Low,Low,High,880,850,Yes
1021,12/1/2018,Active,Yes,3022,221,Low,6/1/2021,3/28/2022,105,12/1/2018,12/1/2023,OK,Low,Low,High,765,750,No
1022,9/1/2017,Inactive,Yes,4022,234,Medium,7/1/2021,4/27/2022,98,9/1/2017,9/1/2022,OK,Low,Low,High,809,794,No
1023,11/1/2016,Inactive,Yes,3492,321,Medium,3/1/2021,12/26/2021,99,11/1/2016,11/1/2021,NOT OK,Moderate,Moderate,Moderate,343,320,No
1024,6/1/2019,Active,Yes,4432,201,High,1/1/2021,10/28/2021,102,6/1/2019,6/1/2024,OK,High,Low,Low,903,890,Yes
1025,3/1/2013,Inactive,Yes,6743,203,Medium,9/1/2021,6/28/2022,90,10/1/2019,10/1/2024,OK,Moderate,Low,Moderate,1033,1021,No
1026,6/1/2017,Active,Yes,2012,248,High,1/1/2021,10/28/2021,80,6/1/2017,6/1/2022,OK,Low,Low,High,2019,1992,Yes
1027,10/1/2017,Active,Yes,2012,134,High,1/1/2021,10/28/2021,120,10/1/2017,10/1/2022,OK,Low,Low,High,1877,1850,Yes
1028,9/1/2018,Active,Yes,3087,332,High,3/1/2021,12/26/2021,110,9/1/2018,9/1/2023,OK,Low,Low,High,1678,1670,No
1029,11/1/2020,Active,Yes,1012,210,Medium,11/1/2020,8/28/2021,98,11/1/2020,11/1/2025,OK,Low,Low,High,768,732,Yes
1030,10/1/2021,Inactive,Yes,0,0,Low,10/1/2021,7/28/2022,104,10/1/2021,10/1/2026,OK,Low,Low,High,0,0,No
1031,11/1/2016,Active,Yes,1802,322,Low,7/1/2021,4/27/2022,120,11/1/2016,11/1/2021,NOT OK,Low,Low,High,1236,1230,No
1032,1/1/2021,Active,Yes,809,120,Medium,7/1/2021,4/27/2022,110,1/1/2021,1/1/2026,OK,High,Low,Low,672,550,Yes
1033,12/1/2020,Active,Yes,1023,123,Medium,6/1/2021,3/28/2022,109,12/1/2020,12/1/2025,OK,Low,Low,High,731,700,No
1034,11/1/2018,Active,Yes,2045,201,Medium,7/1/2021,4/27/2022,100,11/1/2018,11/1/2023,OK,Moderate,Moderate,Moderate,1342,1300,No
1035,10/1/2021,Inactive,Yes,0,0,Low,10/1/2021,7/28/2022,104,10/1/2021,10/1/2026,OK,Low,Low,High,0,0,No
1036,9/1/2013,Inactive,Yes,3133,63,Medium,5/1/2021,2/25/2022,110,10/1/2020,10/1/2025,OK,Low,High,High,589,529,No
1037,10/1/2014,Active,Yes,965,21,High,1/1/2021,10/28/2021,75,11/1/2019,11/1/2024,OK,Low,Low,High,569,520,Yes
1038,7/1/2014,Active,Yes,1988,61,Low,12/1/2020,9/27/2021,98,12/1/2020,12/1/2025,NOT OK,Low,Moderate,High,700,687,Yes
1039,7/1/2014,Active,Yes,2000,64,High,12/1/2020,9/27/2021,98,12/1/2020,12/1/2025,NOT OK,Low,Moderate,High,700,687,Yes
